address_type,agency,agency_name,bbl,borough,city,closed_date,community_board,complaint_type,created_date,cross_street_1,cross_street_2,descriptor,facility_type,incident_address,incident_zip,intersection_street_1,intersection_street_2,landmark,latitude,location,location_address,location_city,location_state,location_type,location_zip,longitude,open_data_channel_type,park_borough,park_facility_name,resolution_action_updated_date,resolution_description,status,street_name,taxi_pick_up_location,unique_key,x_coordinate_state_plane,y_coordinate_state_plane
,NYPD,New York City Police Department,3050080024.0,BROOKLYN,BROOKLYN,2019-08-11T02:06:56.000,17 BROOKLYN,Noise - Residential,2019-08-11T00:00:01.000,FARRAGUT ROAD,GLENWOOD ROAD,Loud Music/Party,,1533 NEW YORK AVENUE,11210.0,FARRAGUT ROAD,GLENWOOD ROAD,NEW YORK AVENUE,40.6353491956573,"{'type': 'Point', 'coordinates': [-73.94499363555671, 40.6353491956573]}",,,,Residential Building/House,,-73.94499363555671,ONLINE,BROOKLYN,Unspecified,2019-08-11T06:06:58.000,The Police Department reviewed your complaint and provided additional information below.,Closed,NEW YORK AVENUE,,43513974,999517.0,170756.0
,NYPD,New York City Police Department,2031440035.0,BRONX,BRONX,2019-08-11T04:24:29.000,05 BRONX,Noise - Residential,2019-08-11T00:00:17.000,EAST  180 STREET,BEND,Loud Music/Party,,2103 TIEBOUT AVENUE,10457.0,EAST  180 STREET,BEND,TIEBOUT AVENUE,40.852954575184725,"{'type': 'Point', 'coordinates': [-73.89883048467043, 40.852954575184725]}",,,,Residential Building/House,,-73.89883048467043,MOBILE,BRONX,Unspecified,2019-08-11T08:24:35.000,The Police Department responded to the complaint and took action to fix the condition.,Closed,TIEBOUT AVENUE,,43515793,1012238.0,250048.0
,NYPD,New York City Police Department,3023690010.0,BROOKLYN,BROOKLYN,2019-08-11T04:16:16.000,01 BROOKLYN,Noise - Commercial,2019-08-11T00:00:17.000,HAVEMEYER STREET,HAVEMEYER STREET,Loud Music/Party,,366 METROPOLITAN AVENUE,11211.0,HAVEMEYER STREET,HAVEMEYER STREET,METROPOLITAN AVENUE,40.71407949849501,"{'type': 'Point', 'coordinates': [-73.95580441444469, 40.71407949849501]}",,,,Store/Commercial,,-73.95580441444469,MOBILE,BROOKLYN,Unspecified,2019-08-11T08:16:18.000,The Police Department responded to the complaint and took action to fix the condition.,Closed,METROPOLITAN AVENUE,,43516023,996502.0,199438.0
,NYPD,New York City Police Department,2037400001.0,BRONX,BRONX,2019-08-11T07:01:15.000,09 BRONX,Noise - Commercial,2019-08-11T00:00:18.000,ELDER AVENUE,BOYNTON AVENUE,Loud Music/Party,,1533 WATSON AVENUE,10472.0,ELDER AVENUE,BOYNTON AVENUE,WATSON AVENUE,40.82611311675097,"{'type': 'Point', 'coordinates': [-73.87801177113899, 40.82611311675097]}",,,,Store/Commercial,,-73.87801177113899,MOBILE,BRONX,Unspecified,2019-08-11T11:01:17.000,The Police Department responded to the complaint and with the information available observed no evid,Closed,WATSON AVENUE,,43512353,1018011.0,240276.0
,NYPD,New York City Police Department,5001810064.0,STATEN ISLAND,STATEN ISLAND,2019-08-11T02:11:02.000,01 STATEN ISLAND,Noise - Residential,2019-08-11T00:00:18.000,NORTH BURGHER AVENUE,BROADWAY,Loud Music/Party,,485 DELAFIELD AVENUE,10310.0,NORTH BURGHER AVENUE,BROADWAY,DELAFIELD AVENUE,40.630979301245844,"{'type': 'Point', 'coordinates': [-74.11475393874146, 40.630979301245844]}",,,,Residential Building/House,,-74.11475393874146,ONLINE,STATEN ISLAND,Unspecified,2019-08-11T06:11:04.000,The Police Department responded to the complaint and with the information available observed no evid,Closed,DELAFIELD AVENUE,,43516386,952398.0,169180.0
,NYPD,New York City Police Department,2031690045.0,BRONX,BRONX,2019-08-11T03:16:11.000,05 BRONX,Noise - Street/Sidewalk,2019-08-11T00:00:19.000,EAST BURNSIDE AVENUE,EAST  180 STREET,Loud Music/Party,,2087 CRESTON AVENUE,10453.0,EAST BURNSIDE AVENUE,EAST  180 STREET,CRESTON AVENUE,40.85375489549983,"{'type': 'Point', 'coordinates': [-73.90392612283449, 40.85375489549983]}",,,,Street/Sidewalk,,-73.90392612283449,MOBILE,BRONX,Unspecified,2019-08-11T07:16:16.000,The Police Department responded to the complaint and took action to fix the condition.,Closed,CRESTON AVENUE,,43513756,1010828.0,250338.0
,NYPD,New York City Police Department,2037440024.0,BRONX,BRONX,2019-08-12T00:20:26.000,09 BRONX,Noise - Street/Sidewalk,2019-08-11T00:00:19.000,WATSON AVENUE,HARROD PLACE,Loud Music/Party,,1145 MORRISON AVENUE,10472.0,WATSON AVENUE,HARROD PLACE,MORRISON AVENUE,40.82781896106879,"{'type': 'Point', 'coordinates': [-73.87418207065726, 40.82781896106879]}",,,,,,-73.87418207065726,PHONE,BRONX,Unspecified,2019-08-12T04:20:27.000,The Police Department responded to the complaint and with the information available observed no evid,Closed,MORRISON AVENUE,,43515600,1019070.0,240899.0
,NYPD,New York City Police Department,1022470014.0,MANHATTAN,NEW YORK,2019-08-11T12:47:45.000,12 MANHATTAN,Noise - Street/Sidewalk,2019-08-11T00:00:28.000,DYCKMAN STREET,BEAK STREET,Loud Music/Party,,65 PAYSON AVENUE,10034.0,DYCKMAN STREET,BEAK STREET,PAYSON AVENUE,40.867405209755695,"{'type': 'Point', 'coordinates': [-73.9277653007795, 40.867405209755695]}",,,,Street/Sidewalk,,-73.9277653007795,MOBILE,MANHATTAN,Unspecified,2019-08-11T16:47:50.000,The Police Department responded to the complaint and with the information available observed no evid,Closed,PAYSON AVENUE,,43512525,1004229.0,255305.0
,NYPD,New York City Police Department,1017550143.0,MANHATTAN,NEW YORK,2019-08-11T01:04:57.000,11 MANHATTAN,Noise - Street/Sidewalk,2019-08-11T00:00:32.000,MADISON AVENUE,PARK AVENUE,Loud Music/Party,,64 EAST  131 STREET,10037.0,MADISON AVENUE,PARK AVENUE,EAST  131 STREET,40.8092585855771,"{'type': 'Point', 'coordinates': [-73.93725670183652, 40.8092585855771]}",,,,,,-73.93725670183652,PHONE,MANHATTAN,Unspecified,2019-08-11T05:05:06.000,The Police Department responded and upon arrival those responsible for the condition were gone.,Closed,EAST  131 STREET,,43516613,1001619.0,234118.0
,NYPD,New York City Police Department,2051410394.0,BRONX,BRONX,2019-08-11T00:17:24.000,10 BRONX,Noise - Commercial,2019-08-11T00:00:38.000,BEND,CARVER LOOP,Car/Truck Horn,,691 COOP CITY BOULEVARD,10475.0,BEND,CARVER LOOP,CO-OP CITY BOULEVARD,40.87986417439557,"{'type': 'Point', 'coordinates': [-73.82390861428429, 40.87986417439557]}",,,,Store/Commercial,,-73.82390861428429,MOBILE,BRONX,Unspecified,2019-08-11T04:17:27.000,The Police Department responded to the complaint and with the information available observed no evid,Closed,COOP CITY BOULEVARD,,43515675,1032945.0,259885.0
