agency,borough,complaint_type,latitude,longitude
DEP,STATEN ISLAND,Industrial Waste,40.55862342223239,-74.12791651632945
NYPD,QUEENS,Noise - Commercial,40.698231107912385,-73.78651431334356
NYPD,MANHATTAN,Noise - Residential,40.79125760216967,-73.94600241145547
NYPD,BROOKLYN,Noise - Residential,40.68820601808772,-73.94626615463784
NYPD,QUEENS,Blocked Driveway,40.70916859661572,-73.78189123217132
NYPD,BROOKLYN,Noise - Street/Sidewalk,40.69415082988584,-73.90696168343284
DOHMH,BRONX,Rodent,40.83141057308959,-73.90110004769986
TLC,MANHATTAN,Lost Property,40.76922627408269,-73.98476495262703
NYPD,MANHATTAN,Noise - Vehicle,40.80398302821106,-73.95435406844555
NYPD,BRONX,Noise - Residential,40.84319458432447,-73.89003747948435
DPR,BRONX,Illegal Tree Damage,40.85519719868796,-73.86195900788857
NYPD,MANHATTAN,Noise - Street/Sidewalk,40.789873457966145,-73.976140005872
NYPD,QUEENS,Illegal Parking,40.73065579123713,-73.89381687151825
NYPD,STATEN ISLAND,Non-Emergency Police Matter,40.594143017671364,-74.09491898583322
NYPD,MANHATTAN,Noise - Residential,40.79125760216967,-73.94600241145547
NYPD,MANHATTAN,Noise - Residential,40.76463249909659,-73.99554892946006
DSNY,STATEN ISLAND,Dirty Conditions,40.63729658546159,-74.14499813907074
NYPD,BROOKLYN,Noise - Vehicle,40.685965381181546,-73.96535650117369
NYPD,BRONX,Illegal Parking,40.850607586958624,-73.82884412346631
NYPD,BRONX,Noise - Vehicle,40.843426477703254,-73.91426327900784
NYPD,BROOKLYN,Blocked Driveway,40.676142705722754,-73.90737255823113
NYPD,BROOKLYN,Blocked Driveway,40.618039665605004,-74.02653610942386
DOT,STATEN ISLAND,Street Condition,40.58013765944178,-74.10289464141415
NYPD,QUEENS,Blocked Driveway,40.695751882771155,-73.86143445961919
DEP,BROOKLYN,Noise,40.59390232711586,-73.96473092985175
NYPD,BRONX,Noise - Residential,40.84825562757735,-73.90528227116515
NYPD,MANHATTAN,Illegal Parking,40.777787689191705,-73.9487213335008
NYPD,BROOKLYN,Noise - Street/Sidewalk,40.675290626013506,-74.00366279768666
NYPD,BROOKLYN,Illegal Parking,40.59073595672579,-73.98119072153081
NYPD,MANHATTAN,Noise - Residential,40.81763486758425,-73.94131323577753
DOT,QUEENS,Traffic Signal Condition,40.758127313597434,-73.92850105073806
NYPD,BRONX,Blocked Driveway,40.83207535635764,-73.8955124131611
NYPD,BRONX,Noise - Street/Sidewalk,40.83091622619485,-73.91445646350272
NYPD,BROOKLYN,Noise - Park,40.68674494699559,-73.96552556572131
NYPD,BRONX,Noise - Street/Sidewalk,40.84574992593709,-73.92413470328374
NYPD,BROOKLYN,Noise - Vehicle,40.6707483759174,-73.9504186110451
NYPD,QUEENS,Abandoned Vehicle,40.6685145471064,-73.78420144787026
DEP,BRONX,Water System,40.88042713278525,-73.87711292596249
DEP,MANHATTAN,Noise,40.7266941402117,-73.98906085736922
NYPD,QUEENS,Blocked Driveway,40.73803203504486,-73.87827046528129
NYPD,MANHATTAN,Non-Emergency Police Matter,40.74242758220239,-74.00113314707264
DOHMH,QUEENS,Rodent,40.70523833250694,-73.79548348972028
NYPD,BROOKLYN,Noise - Vehicle,40.66156996908301,-73.95072459626455
DOHMH,QUEENS,Indoor Air Quality,40.672263255785715,-73.75637341175225
NYPD,STATEN ISLAND,Noise - Commercial,40.62591702657556,-74.07613776689044
NYPD,MANHATTAN,Noise - Residential,40.797338233311045,-73.97217165572431
DOT,STATEN ISLAND,Traffic Signal Condition,40.590380635839246,-74.19293825425369
TLC,MANHATTAN,Lost Property,40.76859504265998,-73.9852163678543
NYPD,QUEENS,Abandoned Vehicle,40.6685145471064,-73.78420144787026
DOHMH,MANHATTAN,Rodent,40.78068453367399,-73.95837805290645
NYPD,BROOKLYN,Noise - Residential,40.72029884073235,-73.95506795739985
NYPD,BROOKLYN,Noise - Residential,40.67532905343268,-74.00364477420754
DOB,STATEN ISLAND,General Construction/Plumbing,40.594143017671364,-74.09491898583322
NYPD,BRONX,Blocked Driveway,40.88367674051837,-73.85789288035714
DOB,MANHATTAN,General Construction/Plumbing,40.77162290438008,-73.95504777042366
NYPD,BRONX,Blocked Driveway,40.85203961077745,-73.91838377567103
DOHMH,QUEENS,Unleashed Dog,40.76795098804281,-73.8933133630899
DOHMH,MANHATTAN,Rodent,40.78068453367399,-73.95837805290645
NYPD,BROOKLYN,Noise - Residential,40.707703409733746,-73.94327116381723
NYPD,QUEENS,Abandoned Vehicle,40.6685145471064,-73.78420144787026
DEP,MANHATTAN,Noise,40.74973870175156,-73.98561755834393
NYPD,BROOKLYN,Illegal Parking,40.611511007888105,-73.97933721048216
DOB,BROOKLYN,Special Projects Inspection Team (SPIT),40.65684890952244,-73.89682485496509
DOHMH,BROOKLYN,Rodent,40.63040316244937,-73.95821598763953
NYPD,BROOKLYN,Noise - Street/Sidewalk,40.6618362203422,-73.95074242153288
DOHMH,QUEENS,Rodent,40.707333612109416,-73.79605776553949
NYPD,BRONX,Noise - Residential,40.86882672635356,-73.89226569683444
NYPD,QUEENS,Illegal Parking,40.73971084258472,-73.84956454704388
DOT,QUEENS,Street Light Condition,40.7478708408279,-73.87215680678601
DEP,QUEENS,Water System,40.702470461682026,-73.75679319025545
NYPD,BROOKLYN,Noise - Street/Sidewalk,40.69993754967121,-73.9270271099168
NYPD,MANHATTAN,Noise - Residential,40.7624912898579,-73.99044476482588
NYPD,MANHATTAN,Noise - Residential,40.825716808303696,-73.93889967226517
NYPD,MANHATTAN,Illegal Parking,40.75484098916205,-73.98411854690194
NYPD,BRONX,Noise - Residential,40.831527104822605,-73.92886303221528
TLC,QUEENS,Taxi Complaint,40.77442086598845,-73.87729410513894
NYPD,MANHATTAN,Noise - Street/Sidewalk,40.854520170692595,-73.9299156600364
NYPD,BROOKLYN,Illegal Parking,40.61847632186093,-74.00438729363798
DCA,QUEENS,Consumer Complaint,40.66761197248329,-73.78591660605143
DSNY,BROOKLYN,Derelict Vehicles,40.694137724957315,-73.9468239312885
NYPD,BRONX,Blocked Driveway,40.82973413056112,-73.88134399460459
NYPD,BRONX,Noise - Street/Sidewalk,40.83659328785893,-73.91212906703372
DOHMH,BROOKLYN,Food Establishment,40.690641909976776,-73.99189743966744
NYPD,BRONX,Noise - Street/Sidewalk,40.84531089101182,-73.88455826665003
NYPD,BRONX,Blocked Driveway,40.80967566592725,-73.85274426737607
NYPD,QUEENS,Illegal Parking,40.71801925826836,-73.90033759153772
NYPD,BRONX,Noise - Street/Sidewalk,40.82969932201079,-73.91312465253877
NYPD,BROOKLYN,Illegal Parking,40.67585531871112,-73.97148329180939
NYPD,MANHATTAN,Noise - Residential,40.799120608760695,-73.95069140272116
NYPD,BRONX,Noise - Street/Sidewalk,40.854814404843246,-73.89159795767854
NYPD,QUEENS,Illegal Parking,40.69615614278505,-73.89603917107037
DEP,BROOKLYN,Noise,40.6406252857506,-73.9040924632139
NYPD,BROOKLYN,Noise - Vehicle,40.60844087431012,-74.01140236757081
NYPD,BROOKLYN,Noise - Street/Sidewalk,40.57761968674616,-73.99037761720334
NYPD,QUEENS,Noise - Street/Sidewalk,40.68659956588287,-73.82981677825136
NYPD,MANHATTAN,Illegal Parking,40.863330192832926,-73.92915077564977
NYPD,QUEENS,Abandoned Vehicle,40.750919620215214,-73.90905514358673
NYPD,QUEENS,Illegal Parking,40.793667802456284,-73.84394586948869
NYPD,BROOKLYN,Blocked Driveway,40.65827326533704,-73.91693768232341
